"","target","CUSTOMER_PROFILE_CODE","LOCATIONNAME","VEHICLEMODEL","ASSETCOST","LOANAMOUNT","EMI","TENURE","ADDRESSCONFIRMED","DESIGNATION","RESIDENCETYPE","NOOFYEARSINSAMECITY","RESIDENCESTABILITY","RESIDENCELOCALITY","BUSINESSCATEGORY","BUSINESSMARGINGROSS","INCOMEEMPLOYMENT","STABILITYINBUSINESS","STABILITYCONFIRMED","STABILTIYCONFIRMEDTHRU","ISFAMILYINVOLVED","OFFICETYPE","MONTHLYTURNOVER","STOCKVALUEINHAND","BUSINESSMARGINNET","NOOFEMPLOYEES","NAMEBOARDSEEN","OFFICELOCALITY","ISRESIDENCECOMEOFFICE","ENDUSEOFLOAN","ENDUSEOFASSET","ASSETLOCATION","NEIGHBOURREF","POLITICALLINK","PROFESSIONTYPE","CURRENTBUSINESSSTABILITY","APPLICANTDESIGNATION","ASSETREGMONTH","ASSETREGYEAR","LANDOWNERSHIP","IRRIGATIONSOURCE","CROPSCULTIVATED","DISTFROMSCELOCATION","DISTFROMDEALERLOCATION","IMGCONFIRM","TOTALEXPENSEPERMONTH","NETINCOMEPERMONTH","FOIR","Target","UID","Location"
"6071","Good","PROF096","TIRUPATHI","MARUTI SUZUKI ERTIGA VDI DIESEL 2015",600000,554250,16628,48,"Y","APPLICANT","O",35,35,3,"PR006",0,80000,8,"N",5,"N","R",0,0,"0","0","Y",2,"N","PERCHESED CAR",1,NA,"POSITIVE","N","SEP",8,"OWNER",NA,0,NA,NA,NA,0,0,"Y",15000,65000,26,2,6071,39
"6072","Bad","PROF285","MADURAI","MARUTI SUZUKI SWIFT VDI DIESEL 2009",300000,224250,11867,24,"Y","APPLICANT","O",15,10,3,"PR002",75,15000,10,"Y",5,"N","O",15000,25000,"75","6","Y",2,"N","APPLICANT",1,"PALANI","POSITIVE","N","SAL",10,"SALESMAN",NA,0,NA,NA,NA,0,0,"Y",7000,8000,148,1,6072,1
"6073","Good","PROF276","NAGPUR","MAHINDRA BOLERO SLX DIESEL 2013",600000,400000,14815,36,"Y","APPLICANT","R",8,5,3,"PR005",0,1e+05,12,"Y",1,"N","R",1e+06,0,"0","5","N",1,"Y","FAMILY USE",1,"NAGPUR","POSITIVE","N","SEP",12,"PROP",NA,0,NA,NA,NA,0,0,"Y",0,100000,15,2,6073,3
"6074","Good","PROF204","JABALPUR ","MAHINDRA BOLERO SLX BS III DIESEL 2015",600000,454250,13352,48,"Y","SELF","L",30,30,3,"PR002",0,15000,1,"N",NA,"N","L",0,0,"0","1","N",2,"N","SELF",1,"REWA","POSITIVE","N","SAL",0.6,"SALES EXECUTIVE",NA,0,NA,NA,NA,0,0,"Y",4000,11000,121,2,6074,40
"6075","Good","PROF375","VIJAYAWADA","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2011",550000,454250,12545,60,"Y","CUSTOMER","O",9,9,3,"PR005",0,90000,6,"Y",5,"N","R",2e+05,100000,"0","3","Y",2,"N","CUSTOMER",1,"NELLORE","POSITIVE","N","SEP",6,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",30000,60000,21,2,6075,15
"6076","Good","PROF285","TIRUNELVELI ","CHEVROLET ENJOY 1.3 LT 7 STR DIESEL 2014",500000,400000,14612,36,"Y","APPLICANT","O",35,20,3,"PR006",0,60000,10,"N",NA,"N","R",0,0,"0","0","N",2,"N","FAMILY",1,NA,"POSITIVE","N","SEP",10,"OWNER",NA,0,NA,NA,NA,0,0,"Y",0,60000,24,2,6076,19
"6077","Good","PROF252","GWALIOR ","TATA SUMO GOLD CX BS IV DIESEL 2012",419885,304250,11621,36,"Y","SELF","O",30,30,3,"PR005",0,15000,5,"N",5,"N","O",40000,0,"0","5","Y",2,"N","LOAN REQUIRED FOR PURCHING LAND ",1,"REHLI","POSITIVE","N","SEP",5,"OWNER",NA,0,NA,NA,NA,0,0,"Y",0,15000,77,2,6077,21
"6078","Good","PROF252","PUNE","MARUTI SUZUKI CELERIO VXI MT PETROL 2014",400000,284250,10526,36,"Y","SELF","O",30,20,3,"PR008",0,70000,20,"Y",6,"N","O",0,0,"0","1","N",1,"Y","PERSONAL",1,NA,"POSITIVE","N","AGR",20,"FARMAER",NA,0,NA,NA,NA,0,0,"Y",0,70000,15,2,6078,7
"6079","Bad","PROF382","VIJAYAWADA","MAHINDRA BOLERO SLX 4WD DIESEL 2008",350000,300000,11084,36,"Y","APPLICANT","O",10,4,3,"PR005",0,302500,4,"Y",1,"N","O",0,0,"0","4","N",1,"Y","FOR PURCHASE OF VEHICLE",1," GANNAVARAM","POSITIVE","N","SEP",4,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",184424,118076,57,1,6079,15
"6080","Good","PROF383","PUNE","MAHINDRA VERITO 1.5 D6 BS III DIESEL 2011",350000,254250,6569,60,"Y","SELF","O",30,30,3,"PR005",0,60000,30,"Y",6,"Y","O",0,0,"0","0","N",1,"Y","APPLICANT",1,NA,"POSITIVE","N","SEP",30,"SELF EMP",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,6080,7
"6081","Good","PROF095","VISAKHAPATNAM","HYUNDAI I10 SPORTZ 1.1 IRDE2 PETROL 2015",480000,404250,10107,60,"Y","SELF ","O",15,15,3,"PR006",0,30000,15,"N",5,"Y","R",0,0,"0","1","Y",2,"N","PERSONAL ",1,"RAJAHMUNDRY","POSITIVE","N","SEP",15,"PROPRIETOR ",NA,0,NA,NA,NA,0,0,"Y",22000,8000,126,2,6081,14
"6082","Good","PROF252","AHMEDABAD","MAHINDRA SCORPIO S10 DIESEL 2014",900000,600000,15500,60,"Y","APPLICANT","O",8,8,3,"PR005",0,70000,10,"Y",1,"Y","O",0,0,"0","2","Y",1,"N","PERSONAL",1,"AHMEDABAD","POSITIVE","N","SEP",10,"PROPRITOR",NA,0,NA,NA,NA,0,0,"Y",0,70000,22,2,6082,4
"6083","Good","PROF235","JAIPUR","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2012",500000,454250,17161,36,"Y","SELF","O",27,27,3,"PR005",0,45000,8,"Y",1,"N","R",0,0,"0","1","Y",2,"N","SALE PURCHASE DEAL",1,"CHOMU","POSITIVE","N","SEP",8,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",15000,30000,57,2,6083,48
"6084","Bad","PROF305","MADURAI","FORD FIGO DURATORQ TITANIUM 1.4 DIESEL 2010",353552,269250,13704,24,"Y","APPLICANT","O",30,30,3,"PR005",0,1e+05,21,"N",NA,"N","O",0,0,"0","6","Y",2,"N","OWN USE",1,"THIRUMANGALAM","POSITIVE","N","SEP",21,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"N",28347,71653,42,1,6084,1
"6085","Good","PROF264","KARIMNAGAR","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012",500000,454250,14196,48,"Y","APPLICANT","O",21,21,3,"PR005",0,1e+05,20,"N",5,"N","O",1e+05,0,"0","2","Y",2,"Y","APPLICANT",1,"KORUTLA","POSITIVE","N","SEP",20,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",38000,62000,23,2,6085,33
"6086","Bad","PROF227","RAIPUR ","MARUTI SUZUKI ERTIGA VDI DIESEL 2014",700000,554250,13395,60,"Y","A PRASAD RAO","L",20,20,3,"PR002",0,25000,10,"N",5,"N","O",0,0,"0","10","Y",1,"N","PERSONNAL USE",1,"BHILAI","POSITIVE","N","SAL",10,"MANAGER",NA,0,NA,NA,NA,0,0,"Y",10000,15000,89,1,6086,20
"6087","Bad","PROF235","INDORE ","MARUTI SUZUKI EECO 7 STR PETROL 2011",300000,204250,5958,60,"Y","SELF","O",41,1,3,"PR005",0,56000,22,"Y",5,"N","O",0,0,"0","0","N",1,"Y","PERSONAL USE",1,"INDORE","POSITIVE","N","SEP",22,"OWNER",NA,0,NA,NA,NA,0,0,"Y",25900,30100,50,1,6087,18
"6088","Good","PROF096","PONDICHERRY ","MAHINDRA VERITO 1.5 D6 BS III DIESEL 2011",270000,179250,7750,30,"Y","SPOUSE","O",25,25,3,"PR006",0,80000,12,"N",NA,"N","O",0,0,"0","0","N",1,"N","VEHICLE PURCAHSE",1,"CUDALORE","POSITIVE","N","SEP",12,"SELF",NA,0,NA,NA,NA,0,0,"Y",24000,56000,14,2,6088,5
"6089","Good","PROF245","PUNE","HONDA CITY 1.5 SMT DIESEL 2014",800000,750000,19375,60,"Y","SELF","O",40,30,3,"PR005",0,4e+05,33,"Y",1,"Y","O",0,0,"0","20","Y",2,"N","PURCHASE",1,"PUNE","POSITIVE","N","SEP",33,"PROP CO APP",NA,0,NA,NA,NA,0,0,"Y",0,400000,5,2,6089,7
"6090","Bad","PROF107","HYDERABAD ","NISSAN TERRANO XE D DIESEL 2014",920000,552000,14490,60,"Y","GUARANTORS","O",15,10,3,"PR018",0,1e+05,10,"Y",5,"N","O",0,0,"0","1","N",1,"Y","VEHICLE  PURCHASE ",1,"HYDERABAD ","POSITIVE","N","OTH",10,"HOUSE WIFE",NA,0,NA,NA,NA,0,0,"Y",0,100000,14,1,6090,30
"6091","Good","PROF227","HYDERABAD","MARUTI SUZUKI WAGON R VXI PETROL 2014",400000,360000,9450,60,"Y","APPLICANT","R",20,5,3,"PR002",0,25000,5,"Y",5,"N","R",0,0,"0","10","Y",2,"N","PERSONAL USE",1,"HYDERABAD","POSITIVE","N","SAL",5,"TEAM LEADER",NA,0,NA,NA,NA,0,0,"Y",0,25000,38,2,6091,49
"6092","Good","PROF252","ROWB","MAHINDRA BOLERO PLUS DIESEL 2010",300000,164250,6104,36,"Y","FRIEND","O",60,60,3,"PR007",0,27000,0,"N",6,"N","O",33000,160000,"0","0","Y",2,"N","NIL",5,NA,"POSITIVE","N","AGR",13,"PADDY BUSINESS ",NA,0,NA,NA,NA,0,0,"Y",5000,22000,28,2,6092,8
"6093","Good","PROF227","VIJAYAWADA","MAHINDRA XUV 500 R FWD DIESEL 2017",1040000,990000,25575,60,"Y","CO APPLICANT","O",40,40,3,"PR001",0,55000,27,"Y",5,"N","O",0,0,"0","0","Y",2,"N","PURCHASE OF THE VEHICLE",1,"VIJAYAWADA","POSITIVE","N","SAL",27,"BUS CONDUCTOR",NA,0,NA,NA,NA,0,0,"Y",5000,50000,51,2,6093,15
"6094","Good","PROF229","KARIMNAGAR","CHEVROLET TAVERA LS B3 10 STR BS III DIESEL 2008",500000,404250,15609,36,"Y","GUARANTER ","O",30,10,3,"PR001",0,5e+05,30,"Y",1,"N","O",22779,0,"0","1","Y",2,"N","CAR LOAN",3,"KARIMNAGAR ","POSITIVE","Y","SAL",3,"BADLI FILLER",NA,0,NA,NA,NA,0,0,"Y",NA,NA,NA,2,6094,33
"6095","Good","PROF261","COIMBATORE ","MAHINDRA SCORPIO 2.6 TURBO 9 STR DIESEL 2009",900000,400000,15212,36,"Y","APPLICANT ","O",35,20,3,"PR005",0,1e+05,17,"Y",6,"N","O",7e+05,400000,"70","6","Y",2,"N","APPLICANT ",1,"SATHYAMANGALAM","POSITIVE","N","SEP",17,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",100000,0,9.22337e+18,2,6095,10
"6096","Bad","PROF233","CHENNAI I","TOYOTA INNOVA 2.5 G 8 STR BS III DIESEL 2011",800000,670000,17242,60,"Y","APPLICANT","O",33,33,3,"PR001",0,13000,4,"Y",5,"N","R",0,0,"0","0","N",2,"N","APPLICANT",1,"CHENNAI","POSITIVE","N","SAL",3,"DRIVER",NA,0,NA,NA,NA,0,0,"Y",5000,8000,216,1,6096,12
"6097","Good","PROF252","GWALIOR","MARUTI SUZUKI ALTO LX BS IV PETROL 2010",190000,164250,5407,40,"Y","OWNER","O",21,20,3,"PR007",0,20000,10,"Y",5,"N","O",0,0,"0","0","Y",1,"N","BUSINESS ",1,"GWALIOR","POSITIVE","N","AGR",10,"OWNER",NA,0,NA,NA,NA,0,0,"Y",5000,15000,36,2,6097,51
"6098","Good","PROF174","KARIMNAGAR","TATA INDICA V2 DLS BS III DIESEL 2009",250000,154250,8099,24,"Y","OWNER","O",30,30,3,"PR001",0,47520,20,"Y",1,"N","O",0,0,"0","1","Y",2,"Y","CAR LOAN",1,"RAMAGUNDAM","POSITIVE","N","SAL",25,"GENERAL MAZDOOR",NA,0,NA,NA,NA,0,0,"Y",0,47520,17,2,6098,33
"6099","Good","PROF219","TIRUNELVELI ","FORD FIGO EXI DURATORQ 1.4 DIESEL 2010",330000,234250,6940,48,"Y","APPLICANT","O",25,25,3,"PR004",0,1e+05,2,"Y",5,"Y","O",0,0,"0","45","Y",2,"N","FAMILY",1,NA,"POSITIVE","N","SEP",2.5,"PARTNER",NA,0,NA,NA,NA,0,0,"Y",0,100000,7,2,6099,19
"6100","Good","PROF109","ERNAKULAM","TOYOTA INNOVA 2.5 V 8 STR DIESEL 2008",691000,483000,15215,48,"Y","HOUSE WIFE","O",25,25,3,"PR001",0,60000,25,"Y",5,"N","O",0,0,"0","0","Y",1,"N","VEHICLE PURCHASE",1,"THIRUMALA TRIVANDRUM","POSITIVE","N","SAL",25,"HOUSE WIFE",NA,0,NA,NA,NA,0,0,"Y",0,60000,25,2,6100,13
"6101","Bad","PROF245","VIJAYAWADA","HYUNDAI VERNA VGT CRDI SX DIESEL 2009",400000,304250,12255,36,"Y","APPLICANT","O",40,40,3,"PR005",0,72000,20,"Y",5,"N","O",0,0,"0","0","N",1,"Y","OWN PURPUS",1,"NELLORE","POSITIVE","N","SEP",20,"OWNER",NA,0,NA,NA,NA,0,0,"Y",20000,52000,24,1,6101,15
"6102","Bad","PROF204","INDORE","FORD FIGO 1.4 TITANIUM (D) 2011",350000,275000,8709,48,"Y","APPLICANT","O",20,20,3,"PR002",0,22000,2,"Y",5,"N","O",0,0,"0","0","N",1,"N","PERSONAL USE",1,NA,"POSITIVE","N","SAL",2,"MEDICAL REPRESENTATIVE",NA,0,NA,NA,NA,0,0,"Y",4000,18000,48,1,6102,41
"6103","Good","PROF259","INDORE ","HONDA CIVIC 1.8V AT PETROL 2008",450000,354250,12350,36,"Y","SELF","O",36,12,3,"PR006",0,70000,18,"Y",6,"N","O",0,0,"0","7","N",1,"N","PERSONAL USE",1,"INDORE","POSITIVE","N","SEP",18,"OWNER",NA,0,NA,NA,NA,0,0,"Y",34800,35200,54,2,6103,18
"6104","Bad","PROF371","JABALPUR","HYUNDAI I20 ASTA VTVT PETROL 2016",700000,404250,10046,60,"Y","SELF","O",24,24,3,"PR005",0,55000,3,"Y",5,"Y","O",50000,0,"0","0","N",2,"N","TAKING LOAN FOR HIS BUSINESS GROWTH",1,"JABALPUR","POSITIVE","N","SEP",3,"SELF",NA,0,NA,NA,NA,0,0,"Y",10500,44500,27,1,6104,16
"6105","Good","PROF105","ORISSA","TATA INDICA VISTA AURA ABS QUADRAJET BS IV DIESEL 2011",600000,184250,4760,60,"Y","APPLICANT","O",50,50,3,"PR006",0,70000,10,"Y",5,"Y","O",70000,0,"0","2","N",1,"Y","INNOVATION OF HOUSE",1,"ANGUL","POSITIVE","N","SEP",10,"OWNER",NA,0,NA,NA,NA,0,0,"Y",30000,40000,12,2,6105,29
"6106","Bad","PROF298","BANGALORE ","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2012",350000,304250,8061,60,"Y","APPLICANT ","O",25,25,3,"PR005",0,50000,5,"N",NA,"Y","O",0,0,"0","1","Y",2,"N","PERSONAL ",1,"BANGALORE ","POSITIVE","N","SEP",8,"PROPREITOR ",NA,0,NA,NA,NA,0,0,"Y",10000,40000,20,1,6106,9
"6107","Bad","PROF255","DELHI","MARUTI SUZUKI RITZ LDI BS IV DIESEL 2011",300000,214250,6463,48,"Y","NONE","O",5,5,3,"PR004",0,20000,3,"Y",5,"N","R",0,0,"0","0","Y",2,"N","SELF USE",1,NA,"POSITIVE","N","SEP",3,"PARTNER",NA,0,NA,NA,NA,0,0,"Y",0,20000,32,1,6107,27
"6108","Good","PROF211","NAGPUR","MARUTI SUZUKI SWIFT ZDI DIESEL 2011",450000,354250,13088,36,"Y","SELF","O",34,9,3,"PR005",0,85000,10,"Y",5,"N","O",0,0,"0","0","N",1,"N","PERSONAL USE",1,"NAGPUR","POSITIVE","N","SEP",10,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",27738,57262,37,2,6108,3
"6109","Good","PROF245","KOLHAPUR","NISSAN SUNNY XV DIESEL 2013",500000,404250,12128,48,"Y","APP SDLF","L",15,15,3,"PR005",0,150000,15,"N",5,"N","L",0,0,"0","10","Y",2,"N","PERSONAL",1,NA,"POSITIVE","N","SEP",15,"PROPRITOR ",NA,0,NA,NA,NA,0,0,"Y",0,150000,8,2,6109,11
"6110","Bad","PROF252","CALICUT","HYUNDAI I10 MAGNA 1.2 PETROL 2010",350000,204250,7121,36,"Y","APPL ","O",40,30,3,"PR006",0,90000,8,"N",5,"Y","O",0,0,"0","3","N",1,"N","BUILDING WORK DEVELOPMENT ",1," PALUNDA  EDAKKARA","POSITIVE","N","SEP",8,"AGRICULTURIST ",NA,0,NA,NA,NA,0,0,"Y",20000,70000,10,1,6110,42
"6111","Good","PROF252","COIMBATORE ","HONDA CITY 1.5 S MT PETROL 2009",500000,400000,15278,36,"Y","APPLICANT","O",40,40,3,"PR007",100,150000,3,"N",5,"Y","O",2e+05,0,"100","3","Y",1,"Y","APPLICANT",1,"DHARAPURAM","POSITIVE","N","AGR",30,"APPLICANT",NA,0,NA,NA,NA,0,0,"Y",50000,100000,15,2,6111,10
"6112","Good","PROF252","JODHPUR","MAHINDRA BOLERO SLX 4WD DIESEL 2011",450000,404250,12465,48,"Y","APPLICANT","O",50,50,3,"PR007",0,150000,10,"Y",5,"Y","O",0,0,"0","0","N",1,"N","SALE PURCHASE",1,NA,"POSITIVE","N","AGR",10,"FARMER",NA,0,NA,NA,NA,0,0,"Y",115000,35000,36,2,6112,53
"6113","Good","PROF356","HUBLI","MARUTI SUZUKI ERTIGA VDI DIESEL 2013",550000,504250,15128,48,"Y","OWNER","O",40,40,3,"PR005",0,50000,20,"N",5,"N","O",2e+05,1000000,"0","2","Y",2,"N","APLICANT",1,"BIJAPUR","POSITIVE","N","SEP",20,"OWNER",NA,0,NA,NA,NA,0,0,"Y",10000,40000,38,2,6113,35
"6114","Good","PROF204","ORISSA","TOYOTA INNOVA 2.5 GX 8 STR BS IV DIESEL 2015",1250000,354250,12793,36,"Y","APPLICANT","O",30,20,3,"PR002",10,46000,8,"Y",2,"N","R",50000,0,"1","2","Y",2,"N","FAMILY & PERSONAL USE",1,"CUTTACK","POSITIVE","N","SAL",2,"SIDE CO ORDINATOR",NA,0,NA,NA,NA,0,0,"Y",10000,36000,36,2,6114,29
"6115","Good","PROF278","CHENNAI I","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2015",600000,504250,13447,60,"Y","GUARANTOR","O",30,25,3,"PR006",0,15000,5,"N",5,"N","O",0,0,"0","0","Y",1,"N","GUARANTOR FOR THE LOAN",3,"CHENNAI","POSITIVE","N","SEP",10,"DANCE TEACHER",NA,0,NA,NA,NA,0,0,"Y",0,15000,90,2,6115,12
"6116","Good","PROF096","TRICHY ","MARUTI SUZUKI OMNI 8 SEATER PETROL 2013",220000,180000,6508,36,"Y","APPLICANT","O",30,13,3,"PR005",75,71000,3,"Y",5,"N","O",10000,1000,"65","3","N",1,"Y","APPLICANT AND HIS BUSINESS",1,"PERAMBALUR","POSITIVE","N","SEP",1,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",10000,61000,11,2,6116,37
"6117","Good","PROF252","ERNAKULAM","MARUTI SUZUKI SWIFT DZIRE ZDI DIESEL 2009",350000,300000,11146,36,"Y","APPLICANT","O",50,50,3,"PR007",0,50000,9,"Y",5,"N","L",0,0,"0","7","N",1,"N","SALE PURCHASE",1,NA,"POSITIVE","N","AGR",4,"AGRICULTURE",NA,0,NA,NA,NA,0,0,"Y",0,50000,22,2,6117,13
"6118","Good","PROF245","CALICUT","MAHINDRA THAR DI 4WD DIESEL 2011",400000,320000,10667,48,"Y","APPLICANT","R",10,3,3,"PR006",0,60000,12,"N",NA,"N","R",0,0,"0","3","Y",1,"N","TO ENLARGE IN BUSINESS",1,"TALIPARAMBA","POSITIVE","N","SEP",12,"SELF EMPLOYED",NA,0,NA,NA,NA,0,0,"Y",0,60000,18,2,6118,42
"6119","Bad","PROF252","PUNE","TOYOTA FORTUNER 3.0 MT 4X4 DIESEL 2010",1400000,504250,13027,60,"Y","SELF ","O",48,48,3,"PR009",0,50000,35,"N",NA,"Y","O",0,0,"0","2","Y",2,"Y","USE CAR",1,NA,"POSITIVE","N","AGR",35,"FARMER",NA,0,NA,NA,NA,0,0,"Y",0,50000,26,1,6119,7
"6120","Good","PROF252","MYSORE","MARUTI SUZUKI OMNI E MPI STD PETROL 2014",280000,204250,6278,48,"Y","APPLICANT","O",35,35,3,"PR007",70,50000,10,"Y",5,"N","O",1e+05,0,"50","2","N",2,"Y","APPLICANT",1,"ISSURU","POSITIVE","N","AGR",10,"AGRICULTURE",NA,0,NA,NA,NA,0,0,"Y",25000,25000,25,2,6120,23
"6121","Good","PROF252","HYDERABAD ","MARUTI SUZUKI SWIFT VDI BS IV DIESEL 2011",400000,350000,10500,48,"Y","PROPRIETR","O",25,30,3,"PR005",0,80000,20,"N",NA,"N","O",0,0,"0","2","Y",1,"Y","PERSONAL USAGE",1,"HYDERABAD","POSITIVE","N","SEP",10,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",10000,70000,15,2,6121,30
"6122","Good","PROF115","CALICUT","MARUTI SUZUKI ZEN ESTILO LXI BS IV PETROL 2009",225000,104250,4342,30,"Y","APPLICANT ","O",13,13,3,"PR003",0,35000,25,"Y",5,"N","O",0,0,"0","2","N",1,"Y","VEHICLE PURCHASE ",1,"CHERPU","POSITIVE","N","SEP",13,"WOOD DESIGNING WORK",NA,0,NA,NA,NA,0,0,"Y",5000,30000,14,2,6122,42
"6123","Good","PROF176","BANGALORE","TOYOTA INNOVA 2.5 V 7STR DIESEL 2008",650000,608500,15720,60,"Y","APPLICANT ","O",25,25,3,"PR005",0,30000,12,"Y",NA,"N","O",0,0,"0","5","Y",2,"N","PERSONAL ",1,"BANGLORE ","POSITIVE","N","SEP",12,"PROPREITOR ",NA,0,NA,NA,NA,0,0,"Y",0,30000,52,2,6123,54
"6124","Good","PROF082","MYSORE","MARUTI SUZUKI RITZ VDI BS IV DIESEL 2011",390000,294250,7725,60,"Y","HUSBAND","O",33,33,3,"PR005",75,8000,8,"Y",5,"Y","O",30000,20000,"85","1","N",1,"Y","NO OTHER LOANS",1,"THIRTHAHALLI ","POSITIVE","N","SEP",8,"TYLRING",NA,0,NA,NA,NA,0,0,"Y",3000,5000,155,2,6124,23
"6125","Good","PROF299","VIJAYAWADA","MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2014",550000,504250,14708,60,"Y","APPLICANT","O",30,9,3,"PR005",0,126000,30,"N",5,"N","O",0,0,"0","0","Y",1,"N","OWN PURPUS",1,"KAVALI","POSITIVE","N","SEP",55,"OWNER",NA,0,NA,NA,NA,0,0,"Y",50000,76000,19,2,6125,15
"6126","Good","PROF273","NAGPUR","MAHINDRA XUV500 W4 DIESEL 2015",900000,808500,20887,60,"Y","COAPP","R",20,2,3,"PR001",0,65104,17,"Y",1,"N","L",0,0,"0","0","Y",2,"N","FAMLY USE",2,"NAGPUR","POSITIVE","N","SAL",17,"SUPERVISOR",NA,0,NA,NA,NA,0,0,"Y",8075,57029,44,2,6126,3
"6127","Good","PROF358","ORISSA","HONDA CITY 1.5 V MT PETROL 2011",900000,444250,11292,60,"Y","PROPERTOR ","O",37,37,3,"PR005",17,58000,7,"Y",5,"Y","O",4e+05,800000,"14","2","Y",1,"Y","GIVEN TO SALLER ",1,"BHUBANESWER ","POSITIVE","N","SEP",7,"PROPERTOR ",NA,0,NA,NA,NA,0,0,"Y",11000,47000,24,2,6127,29
"6128","Good","PROF227","DELHI","MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2010",407000,284250,9993,36,"Y","SELF","O",15,15,1,"PR002",0,45000,26,"N",NA,"N","R",0,0,"0","1","N",2,"N","PERSONAL",1,NA,"POSITIVE","N","SAL",26,"TECHNICION",NA,0,NA,NA,NA,0,0,"Y",0,45000,22,2,6128,27
"6129","Good","PROF320","JAIPUR","HYUNDAI I20 SPORTZ 1.4 CRDI DIESEL 2011",350000,229250,8852,36,"Y","SELF","O",40,15,3,"PR005",0,90000,20,"Y",5,"N","R",0,0,"0","5","Y",2,"N","PERSONAL",1,"KISHANGARH","POSITIVE","N","SEP",20,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",50000,40000,22,2,6129,48
"6130","Good","PROF235","RAIPUR ","TATA VISTA QUADRAJET 75 VX DIESEL 2011",300000,134250,4848,36,"Y","SELF","O",40,40,3,"PR005",0,35000,15,"N",5,"N","O",35000,0,"0","2","Y",2,"N","PERSONAL",1,"BILHA","POSITIVE","N","SEP",15,"PROPRITER",NA,0,NA,NA,NA,0,0,"Y",8000,27000,18,2,6130,20
"6131","Good","PROF115","HYDERABAD ","MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2009",300000,250000,9414,36,"Y","PROP","O",40,35,3,"PR005",0,102000,20,"Y",5,"N","O",0,0,"0","5","N",1,"Y","APPLICANT ",1,"HYDERABAD ","POSITIVE","N","SEP",20,"PROP",NA,0,NA,NA,NA,0,0,"Y",15000,87000,11,2,6131,30
"6132","Good","PROF255","CHENNAI I","RENAULT SCALA RXZ DIESEL 2012",575000,404250,10023,60,"Y","APPLICANT","R",28,2,3,"PR005",0,80000,4,"Y",6,"N","R",0,0,"0","2","Y",2,"N","TO PURCHASE A COST",1,NA,"POSITIVE","N","SEP",4,"PROPRIETOR",NA,0,NA,NA,NA,0,0,"Y",30615,49385,39,2,6132,12
"6133","Bad","PROF209","TIRUNELVELI ","MAHINDRA SCORPIO VLX BS III DIESEL 2010",1100000,404250,11387,48,"Y","APPLICANT","O",40,25,3,"PR005",50,79000,8,"Y",5,"N","O",1e+05,10000,"35","0","N",2,"N","APPLICANT",1,"ARALVAIMOZHI","POSITIVE","N","SEP",8,"PROPEIRATOR",NA,0,NA,NA,NA,0,0,"Y",0,79000,14,1,6133,19
"6134","Bad","PROF356","MYSORE","MARUTI SUZUKI WAGON R LXI PETROL 2010",250000,199250,10212,24,"Y","FATHER","O",40,40,3,"PR005",95,75000,10,"Y",5,"N","O",3e+05,200000,"65","4","N",2,"Y","NO OTHER LOANS",1,"THIRTHAHALLI ","POSITIVE","N","SEP",10,"HOLE SALE CLOTH MERCHANT",NA,0,NA,NA,NA,0,0,"Y",40000,35000,29,1,6134,23
"6135","Good","PROF245","HYDERABAD ","MAHINDRA XYLO E8 BS IV DIESEL 2009",350000,300000,8875,48,"Y","APPLICANT","R",30,1,3,"PR005",0,80000,30,"N",NA,"N","R",0,0,"0","0","N",1,"N","PERSONAL USAGE",1,NA,"POSITIVE","N","SEP",30,"PROPREITOR",NA,0,NA,NA,NA,0,0,"Y",30000,50000,18,2,6135,30
"6136","Good","PROF252","AURANGABAD","MAHINDRA BOLERO XL 9 STR DIESEL 2013",500000,334250,9749,48,"Y","SELF","O",30,28,3,"PR009",0,750000,20,"N",NA,"Y","O",0,0,"0","2","Y",1,"Y","SALE PURCHASE ",1,"AURANGABAD","POSITIVE","N","AGR",20,"FARMER ",NA,0,NA,NA,NA,0,0,"Y",0,750000,1,2,6136,32
